Title,Authors,zbMATH_ID,Keywords,MSCs,Refrences,Full text link
On excitable dynamic systems with delays.,"('De La Sen, Manuel',)",5764183,"[{'text': 'cybernetics', 'type': 'uncontrolled'}, {'text': 'systems and control theory', 'type': 'uncontrolled'}]","[{'code': '34K35', 'scheme': 'msc2020', 'text': 'Control problems for functional-differential equations'}, {'code': '34K06', 'scheme': 'msc2020', 'text': 'Linear functional-differential equations'}, {'code': '93C23', 'scheme': 'msc2020', 'text': 'Control/observation systems governed by functional-differential equations'}]",0,['10.1108/03684920910991559']
On generalized concircularly recurrent KÃ¤hlerian Weyl spaces.,"('Ã–zdemir, F.', 'Canfes, E. Ã–.')",6073307,"[{'text': 'KÃ¤hlerian Weyl space', 'type': 'uncontrolled'}, {'text': 'recurrent Weyl space', 'type': 'uncontrolled'}, {'text': 'generalized recurrency', 'type': 'uncontrolled'}, {'text': 'concircularly recurrency', 'type': 'uncontrolled'}]","[{'code': '53C15', 'scheme': 'msc2020', 'text': 'General geometric structures on manifolds (almost complex, almost product structures, etc.)'}]",0,No doi or fulltext link available
On purifiable subgroups and the intersection problem.,"('Okuyama, Takashi',)",798.20051,No keywords available,No MSCs available,No refrences available,https://doi.org/10.2140/pjm.1993.157.311
On purifiable subgroups of primary abelian groups.,"('Benabdallah, K.', 'Okuyama, T.')",716.20036,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1080/00927879108824130
On quasi-essential subgroups of primary abelian groups.,"('Benabdallah, K.', 'Irwin, J. M.')",209.05702,No keywords available,No MSCs available,No refrences available,https://doi.org/10.4153/CJM-1970-135-9
On quasi-isomorphic invariants of primary groups.,"('Hill, Paul',)",168.27303,No keywords available,No MSCs available,No refrences available,https://doi.org/10.2140/pjm.1967.22.257
On socle-regularity and some notions of transitivity for Abelian \(p\)-groups.,"('Danchev, P. V.', 'Goldsmith, B.')",6030523,"[{'text': 'Abelian \\(p\\)-groups', 'type': 'uncontrolled'}, {'text': 'fully invariant subgroups', 'type': 'uncontrolled'}, {'text': 'characteristic subgroups', 'type': 'uncontrolled'}, {'text': 'fully transitive groups', 'type': 'uncontrolled'}, {'text': 'Krylov transitive groups', 'type': 'uncontrolled'}, {'text': 'weakly transitive groups', 'type': 'uncontrolled'}, {'text': 'strongly socle-regular groups', 'type': 'uncontrolled'}]","[{'code': '20K10', 'scheme': 'msc2020', 'text': 'Torsion groups, primary groups and generalized primary groups'}, {'code': '20K30', 'scheme': 'msc2020', 'text': 'Automorphisms, homomorphisms, endomorphisms, etc. for abelian groups'}, {'code': '20K27', 'scheme': 'msc2020', 'text': 'Subgroups of abelian groups'}]",10,['10.1216/JCA-2011-3-3-301']
On some results in fuzzy metric spaces.,"('George, A.', 'Veeramani, P.')",843.54014,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1016/0165-0114(94)90162-7
On some results of analysis for fuzzy metric spaces.,"('George, A.', 'Veeramani, P.')",917.5401,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1016/S0165-0114(96)00207-2
On some topological properties in the class of Alexandroff spaces.,"('Lazaar, Sami', 'Sabri, Houssem', 'Tahri, Randa')",1497.54028,No keywords available,No MSCs available,No refrences available,https://doi.org/10.3906/mat-2010-90
On spin\(\mathbb{Z}/2^p\)-actions on spin 4-manifolds.,"('Kim, Jin-Hong',)",967.57028,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1016/S0166-8641(99)00133-9
On split Malcev Poisson algebras.,"('SÃ¡nchez, J. M.',)",1484.17036,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1134/S0037446621030149
On subsocles of primary abelian groups.,"('Benabdallah, Khalid', 'Okuyama, Takashi')",779.20029,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1216/rmjm/1181072696
On the class of weak almost limited operators.,"('Elbour, Aziz', 'Machrafi, Nabil', 'Moussa, Mohammed')",6696052,"[{'text': 'weak almost limited operator', 'type': 'uncontrolled'}, {'text': 'almost limited operator', 'type': 'uncontrolled'}, {'text': 'almost Dunford-Pettis operator', 'type': 'uncontrolled'}, {'text': 'wDP property', 'type': 'uncontrolled'}, {'text': 'almost limited set', 'type': 'uncontrolled'}]","[{'code': '46B42', 'scheme': 'msc2020', 'text': 'Banach lattices'}, {'code': '46B50', 'scheme': 'msc2020', 'text': 'Compactness in Banach (or normed) spaces'}, {'code': '47B65', 'scheme': 'msc2020', 'text': 'Positive linear operators and order-bounded operators'}]",5,['10.2989/16073606.2015.1015652']
On the congruence of subgroups of totally projectives.,"('Hill, Paul', 'Megibben, Charles')",517.20028,No keywords available,No MSCs available,No refrences available,https://link.springer.com/chapter/10.1007/978-3-662-21560-9_31?error=cookies_not_supported&code=48024165-5c98-4f96-a7e8-b21ee73423c2
On the existence of maximum principles in parabolic finite element equations.,"('ThomÃ©e, Vidar', 'Wahlbin, Lars B.')",5216389,"[{'text': 'maximum principle', 'type': 'uncontrolled'}, {'text': 'parabolic equations', 'type': 'uncontrolled'}, {'text': 'finite elements', 'type': 'uncontrolled'}, {'text': 'lumped mass', 'type': 'uncontrolled'}, {'text': 'semidiscretization', 'type': 'uncontrolled'}]","[{'code': '65M60', 'scheme': 'msc2020', 'text': 'Finite element, Rayleigh-Ritz and Galerkin methods for initial value and initial-boundary value problems involving PDEs'}, {'code': '65M12', 'scheme': 'msc2020', 'text': 'Stability and convergence of numerical methods for initial value and initial-boundary value problems involving PDEs'}, {'code': '35B50', 'scheme': 'msc2020', 'text': 'Maximum principles in context of PDEs'}, {'code': '35K55', 'scheme': 'msc2020', 'text': 'Nonlinear parabolic equations'}, {'code': '65M20', 'scheme': 'msc2020', 'text': 'Method of lines for initial value and initial-boundary value problems involving PDEs'}]",15,['10.1090/S0025-5718-07-02021-2']
On the existence of pure hulls in primary Abelian groups.,"('Okuyama, Takashi',)",752.20025,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1080/00927879108824308
On the fourth power mean of the two-term exponential sums.,"('Zhang, Han' ,'Zhang, Wenpeng')",1343.11070_source,No keywords available,No MSCs available,No refrences available,https://downloads.hindawi.com/journals/tswj/2014/724840.pdf
On the positive correlations in Wiener space via fractional calculus.,"('Guendouzi, T.',)",1234.6002,No keywords available,No MSCs available,No refrences available,http://www.m-hikari.com/imf-2010/61-64-2010/index.html
On the rational second kind Chebyshev pseudospectral method for the solution of the Thomas-Fermi equation over an infinite interval.,"('KÄ±lÄ±Ã§man, A.', 'Hashim, Ishak', 'Tavassoli Kajani, M.', 'Maleki, Mohammad')",1294.6508,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1016/j.cam.2013.07.050
On the socles of characteristic subgroups of Abelian \(p\)-groups.,"('Danchev, P. V.', 'Goldsmith, B.')",5718195,"[{'text': 'characteristic subgroups', 'type': 'uncontrolled'}, {'text': 'Abelian \\(p\\)-groups', 'type': 'uncontrolled'}, {'text': 'strongly socle-regular groups', 'type': 'uncontrolled'}, {'text': 'fully transitive groups', 'type': 'uncontrolled'}, {'text': 'fully invariant subgroups', 'type': 'uncontrolled'}]","[{'code': '20K10', 'scheme': 'msc2020', 'text': 'Torsion groups, primary groups and generalized primary groups'}, {'code': '20K27', 'scheme': 'msc2020', 'text': 'Subgroups of abelian groups'}]",6,['10.1016/j.jalgebra.2009.12.005']
On the uniqueness of the coincidence index on orientable differentiable manifolds.,"('Staecker, P. Christopher',)",5159482,"[{'text': 'coincidence index', 'type': 'uncontrolled'}, {'text': 'coincidence point', 'type': 'uncontrolled'}, {'text': 'Nielsen theory', 'type': 'uncontrolled'}]","[{'code': '55M20', 'scheme': 'msc2020', 'text': 'Fixed points and coincidences in algebraic topology'}, {'code': '54H25', 'scheme': 'msc2020', 'text': 'Fixed-point and coincidence theorems (topological aspects)'}]",7,['10.1016/j.topol.2007.02.003']
"On universality of critical behavior in the focusing nonlinear SchrÃ¶dinger equation, elliptic umbilic catastrophe and the TritronquÃ©e solution to the PainlevÃ©-I equation.","('Dubrovin, B.', 'Grava, T.', 'Klein, C.')",5586599,"[{'text': 'SchrÃ¶dinger equation', 'type': 'uncontrolled'}, {'text': 'PainlevÃ©-I equation', 'type': 'uncontrolled'}, {'text': 'critical behavior', 'type': 'uncontrolled'}]","[{'code': '37K05', 'scheme': 'msc2010', 'text': 'Hamiltonian structures, symmetries, variational principles, conservation laws'}, {'code': '35Q55', 'scheme': 'msc2020', 'text': 'NLS equations (nonlinear SchrÃ¶dinger equations)'}]",47,['10.1007/s00332-008-9025-y']
Optimal partial regularity of second order parabolic systems under controllable growth condition.,"('Chen, Shuhong', 'Tan, Zhong')",6320838,"[{'text': 'A-caloric approximation', 'type': 'uncontrolled'}]","[{'code': '35B65', 'scheme': 'msc2020', 'text': 'Smoothness and regularity of solutions to PDEs'}, {'code': '35K40', 'scheme': 'msc2020', 'text': 'Second-order parabolic systems'}, {'code': '35K55', 'scheme': 'msc2020', 'text': 'Nonlinear parabolic equations'}]",4,['10.1016/j.jfa.2014.02.022']
Partial sums of functions of bounded turning.,"('Jahangiri, Jay M.', 'Farahmand, K.')",2107647,"[{'text': 'bounded turning', 'type': 'uncontrolled'}, {'text': 'partial sums', 'type': 'uncontrolled'}, {'text': 'Libera integral operator', 'type': 'uncontrolled'}]","[{'code': '30C45', 'scheme': 'msc2020', 'text': 'Special classes of univalent and multivalent functions of one complex variable (starlike, convex, bounded rotation, etc.)'}, {'code': '26D05', 'scheme': 'msc2020', 'text': 'Inequalities for trigonometric functions and polynomials'}]",4,No doi or fulltext link available
Poisson type inequalities with respect to a cone and their applications.,"('Shu, Chang', 'Chen, Ling', 'Vargas-De-TeÃ³n, Robert')",1369.3101,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1186/s13660-017-1387-y
Poles of integrÃ¡le tritronquÃ©e and anharmonic oscillators. A WKB approach.,"('Masoero, Davide',)",1194.3417,No keywords available,No MSCs available,No refrences available,https://arxiv.org/abs/0909.5537
Positive solutions for the initial value problem of fractional evolution equations.,"('Yang, He', 'Liang, Yue')",1291.3543,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1155/2013/428793
Pricing European options based on the fuzzy pattern of Black-Scholes formula.,"('Wu, Hsien-Chung',)",2055453,"[{'text': 'Optimization', 'type': 'uncontrolled'}, {'text': 'Put-call parity', 'type': 'uncontrolled'}]","[{'code': '91B28', 'scheme': 'msc2000', 'text': 'Finance etc.'}, {'code': '03E72', 'scheme': 'msc2020', 'text': 'Theory of fuzzy sets, etc.'}]",29,['10.1016/S0305-0548(03)00065-0']
QoS-Driven Selection of Web Services for Transactional Composition,"('El Haddad, Joyce', 'Manouvrier, Maude','Ramirez, Guillermo','Rukoz, Marta')",1264.68021_source_2,No keywords available,No MSCs available,No refrences available,https://ieeexplore.ieee.org/document/4670233
Quasi-essential subsocles of Abelian p-groups.,"('Moore, J. Douglas',)",548.20041,No keywords available,No MSCs available,No refrences available,https://eudml.org/doc/115403
Random \(n\)-normed linear space.,"('Jebril, Iqbal H.', 'Hatamleh, Raâ€™ed')",5864972,"[{'text': 'random 2-normed space', 'type': 'uncontrolled'}, {'text': 'random \\(n\\)-normed space', 'type': 'uncontrolled'}, {'text': '\\(n\\)-normed space', 'type': 'uncontrolled'}]","[{'code': '46S50', 'scheme': 'msc2020', 'text': 'Functional analysis in probabilistic metric linear spaces'}, {'code': '46A70', 'scheme': 'msc2020', 'text': 'Saks spaces and their duals (strict topologies, mixed topologies, two-norm spaces, co-Saks spaces, etc.)'}]",1,No doi or fulltext link available
Rational Chebyshev pseudospectral approach for solving Thomas-Fermi equation.,"('Parand, K.', 'Shahini, M.')",1227.4905,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1016/j.physleta.2008.10.044
Retracted article: Iterative schemes by a new generalized resolvent for a monotone mapping and a relatively weak nonexpansive mapping.,"('Wang, Xian', 'Chen, Jun-Min', 'Tong, Hui')",7010697,No keywords available,"[{'code': '47J25', 'scheme': 'msc2020', 'text': 'Iterative procedures involving nonlinear operators'}, {'code': '47H05', 'scheme': 'msc2020', 'text': 'Monotone operators and generalizations'}, {'code': '47H10', 'scheme': 'msc2020', 'text': 'Fixed-point theorems'}]",0,['10.1155/2014/603186']
RETRACTED: â€œPeriodic solutions of second order impulsive differential equations at resonance via variational approachâ€.,(),1477.34049,No keywords available,No MSCs available,No refrences available,https://doi.org/10.3846/13926292.2014.980864
RETRACTED: Growth properties at infinity for solutions of modified Laplace equations.,"('Sun, Jianguo', 'He, Binghang', 'Peixoto-de-BÃ¼yÃ¼kkurt, Corchado')",6562131,"[{'text': 'growth property', 'type': 'uncontrolled'}, {'text': 'modified Laplace equation', 'type': 'uncontrolled'}, {'text': 'normal family', 'type': 'uncontrolled'}]","[{'code': '35J05', 'scheme': 'msc2020', 'text': 'Laplace operator, Helmholtz equation (reduced wave equation), Poisson equation'}]",2,['10.1186/s13660-015-0777-2']
Retracted: Nonlinear eigenvalue problems in Sobolev spaces with variable exponent.,"('Dinu, Teodora-Liliana',)",5139215,No keywords available,"[{'code': '35D05', 'scheme': 'msc2000', 'text': 'Existence of generalized solutions of PDE'}, {'code': '35J60', 'scheme': 'msc2020', 'text': 'Nonlinear elliptic equations'}, {'code': '35J70', 'scheme': 'msc2020', 'text': 'Degenerate elliptic equations'}, {'code': '58E05', 'scheme': 'msc2020', 'text': ""Abstract critical point theory (Morse theory, Lyusternik-Shnirel'man theory, etc.) in infinite-dimensional spaces"", 'text_mathjax': 'Abstract critical point theory (Morse theory, Lyusternik-Shnirel&rsquo;man theory, etc.) in infinite-dimensional spaces'}, {'code': '68T40', 'scheme': 'msc2020', 'text': 'Artificial intelligence for robotics'}, {'code': '76A02', 'scheme': 'msc2020', 'text': 'Foundations of fluid mechanics'}]",2,['10.1155/2006/515496']
Retracted: Sharp geometrical properties of \(a\)-rarefied sets via fixed point index for the SchrÃ¶dinger operator equations.,"('Li, Zhiqiang', 'Ychussie, Beatriz')",6582778,"[{'text': 'SchrÃ¶dinger operator equations', 'type': 'uncontrolled'}, {'text': 'rarefied set', 'type': 'uncontrolled'}, {'text': 'Poisson-Sch integral', 'type': 'uncontrolled'}, {'text': 'Green-Sch potential', 'type': 'uncontrolled'}]","[{'code': '31B20', 'scheme': 'msc2020', 'text': 'Boundary value and inverse problems for harmonic functions in higher dimensions'}, {'code': '35J10', 'scheme': 'msc2020', 'text': 'SchrÃ¶dinger operator, SchrÃ¶dinger equation'}, {'code': '47H11', 'scheme': 'msc2020', 'text': 'Degree theory for nonlinear operators'}]",4,['10.1186/s13663-015-0342-1']
Retracted: The stability of Gauss model having one prey two-predators.,"('Farajzadeh, Ali', 'Doust, Mohammad H. R.', 'Haghighifar, F.')",6921286,"[{'text': 'equilibrium point', 'type': 'uncontrolled'}, {'text': 'Gauss model', 'type': 'uncontrolled'}, {'text': 'predator-prey system', 'type': 'uncontrolled'}]","[{'code': '92D25', 'scheme': 'msc2020', 'text': 'Population dynamics (general)'}]",0,No doi or fulltext link available
Seiberg-Witten theory and \(\mathbb{Z}/2^p\) actions on spin 4-manifolds.,"('Bryan, Jim',)",1187591,"[{'text': 'minimal genus', 'type': 'uncontrolled'}, {'text': 'signature', 'type': 'uncontrolled'}, {'text': 'Betti number', 'type': 'uncontrolled'}, {'text': 'involutions', 'type': 'uncontrolled'}]","[{'code': '57R57', 'scheme': 'msc2020', 'text': 'Applications of global analysis to structures on manifolds'}, {'code': '57R95', 'scheme': 'msc2020', 'text': 'Realizing cycles by submanifolds'}, {'code': '57M60', 'scheme': 'msc2020', 'text': 'Group actions on manifolds and cell complexes in low dimensions'}, {'code': '58J20', 'scheme': 'msc2020', 'text': 'Index theory and related fixed-point theorems on manifolds'}, {'code': '57R15', 'scheme': 'msc2020', 'text': 'Specialized structures on manifolds (spin manifolds, framed manifolds, etc.)'}, {'code': '57N13', 'scheme': 'msc2010', 'text': 'Topology of the Euclidean \\(4\\)-space, \\(4\\)-manifolds'}, {'code': '14J28', 'scheme': 'msc2020', 'text': '\\(K3\\) surfaces and Enriques surfaces'}]",12,['10.4310/MRL.1998.v5.n2.a3']
"SIMULATION OF PHOTON PROPAGATION IN TISSUE USING
 
  MATLAB","JUROVATA, Dominika', 'KURNATOVA, Julia', 'LEY, Sebastian',
 
  'LAQUA, Daniel', 'VAZAN, Pavel', 'HUSAR, Peter')",10.2478_rput-2013-0006,No keywords available,No MSCs available,No refrences available,https://sciendo.com/article/10.2478/rput-2013-0006
Singular vector barotropic ensemble forecast for tropical cyclone track.,"('Sirikantisophon, Thawatchai', 'Sukawat, Dusadee')",5506473,"[{'text': 'singular vector', 'type': 'uncontrolled'}, {'text': 'barotropic model', 'type': 'uncontrolled'}, {'text': 'ensemble prediction system', 'type': 'uncontrolled'}]","[{'code': '86A10', 'scheme': 'msc2020', 'text': 'Meteorology and atmospheric physics'}, {'code': '65Z05', 'scheme': 'msc2020', 'text': 'Applications to the sciences'}, {'code': '15A18', 'scheme': 'msc2020', 'text': 'Eigenvalues, singular values, and eigenvectors'}, {'code': '34A34', 'scheme': 'msc2020', 'text': 'Nonlinear ordinary differential equations and systems'}]",0,No doi or fulltext link available
Some normal criteria about shared values with their multiplicity zeros.,"('Qi, Jianming', 'Zhu, Taiying')",5848796,"[{'text': 'meromorphic functions', 'type': 'uncontrolled'}, {'text': 'sharing values', 'type': 'uncontrolled'}]","[{'code': '30C45', 'scheme': 'msc2020', 'text': 'Special classes of univalent and multivalent functions of one complex variable (starlike, convex, bounded rotation, etc.)'}]",4,['10.1155/2010/147878']
Some properties of fuzzy metric spaces.,"('Gregori, Valentin', 'Romaguera, Salvador')",985.54007,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1016/S0165-0114(98)00281-4
Stability of Poiseuille-type flows for an MHD model of an incompressible polymeric fluid.,"('Blokhin, A. M.', 'Tkachev, D. L.')",7195750,"[{'text': 'magnetic field', 'type': 'uncontrolled'}, {'text': 'Lyapunov stability', 'type': 'uncontrolled'}, {'text': 'asymptotic spectrum', 'type': 'uncontrolled'}, {'text': 'heat transfer', 'type': 'uncontrolled'}]","[{'code': '76W05', 'scheme': 'msc2020', 'text': 'Magnetohydrodynamics and electrohydrodynamics'}, {'code': '76E25', 'scheme': 'msc2020', 'text': 'Stability and instability of magnetohydrodynamic and electrohydrodynamic flows'}, {'code': '76A10', 'scheme': 'msc2020', 'text': 'Viscoelastic fluids'}, {'code': '35Q35', 'scheme': 'msc2020', 'text': 'PDEs in connection with fluid mechanics'}, {'code': '35Q60', 'scheme': 'msc2020', 'text': 'PDEs in connection with optics and electromagnetic theory'}, {'code': '80A19', 'scheme': 'msc2020', 'text': 'Diffusive and convective heat and mass transfer, heat flow'}]",2,['10.1142/S0219891619500243']
Stabilizability of infinite dimensional systems by finite dimensional control.,"('Raymond, Jean-Pierre',)",7103549,"[{'text': 'Oseen equations', 'type': 'uncontrolled'}, {'text': 'mixed boundary conditions', 'type': 'uncontrolled'}]","[{'code': '93D15', 'scheme': 'msc2020', 'text': 'Stabilization of systems by feedback'}, {'code': '93C25', 'scheme': 'msc2020', 'text': 'Control/observation systems in abstract spaces'}]",1,['10.1515/cmam-2019-0026']
Strong solutions of the stochastic Navier-Stokes equations in \(\mathbb R^3\).,"('Kim, Jong Uhn',)",5899009,"[{'text': 'stochastic Navier-Stokes equations', 'type': 'uncontrolled'}, {'text': 'strong solutions', 'type': 'uncontrolled'}, {'text': 'global solutions', 'type': 'uncontrolled'}]","[{'code': '35R60', 'scheme': 'msc2020', 'text': 'PDEs with randomness, stochastic partial differential equations'}, {'code': '35Q30', 'scheme': 'msc2020', 'text': 'Navier-Stokes equations'}, {'code': '60H15', 'scheme': 'msc2020', 'text': 'Stochastic partial differential equations (aspects of stochastic analysis)'}]",5,['10.1512/iumj.2010.59.3930']
The Geodesics of Non-Metric Connections with Vectorial Torsion in a Riemannian Manifold,"('Erol, Yasar')",5826542,No keywords available,No MSCs available,No refrences available,No doi or fulltext link available
The Geodesics of Metric Connections with Vectorial Torsion,"('Agricola, Ilka', Thier Christian')",1874682,No keywords available,No MSCs available,No refrences available,https://link.springer.com/article/10.1023/B:AGAG.0000047509.63818.4f?error=cookies_not_supported&code=7635cafd-daaf-46b6-8942-b5e9dbf99062
The covering theorem for upper basic subgroups.,"('Hill, Paul',)",223.20057,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1307/mmj/1029000641
The eigenstructure of the Bernstein operator.,"('Cooper, Shaun', 'Waldron, Shayne')",963.41006,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1006/jath.2000.3464
The energy of the universe in teleparallel gravity,"('Vargas, T.')",1162.83357_source_2,No keywords available,No MSCs available,No refrences available,https://arxiv.org/abs/gr-qc/0303034
The existence of solution for \(k\)-dimensional system of Langevin Hadamard-type fractional differential inclusions with \(2k\) different fractional orders.,"('Samei, Mohammad Esmael', 'Hedayati, Vahid', 'Khalilzadeh Ranjbar, Ghorban')",7167249,"[{'text': '\\(k\\)-dimensional system', 'type': 'uncontrolled'}, {'text': 'Langevin equation', 'type': 'uncontrolled'}, {'text': 'Hadamard-type fractional differential', 'type': 'uncontrolled'}]","[{'code': '34A08', 'scheme': 'msc2020', 'text': 'Fractional ordinary differential equations'}, {'code': '47N20', 'scheme': 'msc2020', 'text': 'Applications of operator theory to differential and integral equations'}]",4,['10.1007/s00009-019-1471-2']
The Klein-Gordon and the Dirac oscillators in a non-commutative space and in a constant magnetic field,"('Mirza, B.', 'Narimani, R.' ,'Sadeghi, A.', 'Ameri, T.')",1221.81113_source,No keywords available,No MSCs available,No refrences available,https://ijpr.iut.ac.ir/article_515_8fb61f959eb05cc132c54f872baeb2df.pdf?lang=en
The method of lower and upper solutions for damped elastic systems in Banach spaces.,"('Gou, Haide', 'Li, Yongxiang')",7315130,"[{'text': 'damped elastic systems', 'type': 'uncontrolled'}, {'text': 'extremal mild solution', 'type': 'uncontrolled'}, {'text': 'method of lower and upper solution', 'type': 'uncontrolled'}, {'text': 'measure of noncompactness', 'type': 'uncontrolled'}]","[{'code': '34G20', 'scheme': 'msc2020', 'text': 'Nonlinear differential equations in abstract spaces'}, {'code': '34K30', 'scheme': 'msc2020', 'text': 'Functional-differential equations in abstract spaces'}, {'code': '35B10', 'scheme': 'msc2020', 'text': 'Periodic solutions to PDEs'}, {'code': '47D06', 'scheme': 'msc2020', 'text': 'One-parameter semigroups and linear evolution equations'}]",0,['10.11948/20180267']
Topological chaos and mixing in lid-driven cavities and rectangular channels,"('Chen, Jie')",1274.76184_source,No keywords available,No MSCs available,No refrences available,http://scholar.lib.vt.edu/theses/available/etd-12012008-120110/unrestricted/dissertation.pdf
Totally umbilical lightlike hypersurfaces in semi-Riemannian manifold with semi-symmetric metric connection.,"('YaÅŸar, Erol', 'CÃ¶ken, A. Ceylan', 'YÃ¼cesan, Ahmet')",2247216,"[{'text': 'totally umbilical light-like hypersurface', 'type': 'uncontrolled'}, {'text': 'semi-symmetric connection', 'type': 'uncontrolled'}, {'text': 'equations of Gauss and Codazzi', 'type': 'uncontrolled'}, {'text': 'Ricci tensor', 'type': 'uncontrolled'}]","[{'code': '53B25', 'scheme': 'msc2020', 'text': 'Local submanifolds'}, {'code': '53B30', 'scheme': 'msc2020', 'text': 'Local differential geometry of Lorentz metrics, indefinite metrics'}, {'code': '53B15', 'scheme': 'msc2020', 'text': 'Other connections'}, {'code': '53C05', 'scheme': 'msc2020', 'text': 'Connections (general theory)'}]",0,No doi or fulltext link available
TQoS: Transactional and QoS-Aware Selection Algorithm for Automatic Web Service Composition,"('El Hadad, Joyce','Manouvrier, Maude','Rukoz, Marta')",1264.68021_source_1,No keywords available,No MSCs available,No refrences available,https://dl.acm.org/doi/abs/10.1109/tsc.2010.5
Transitive and fully transitive groups.,"('Files, Steve', 'Goldsmith, Brendan')",909.20034,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1090/S0002-9939-98-04330-5
Two-dimensional wave equations with fractal boundaries.,"('Su, Weiyi',)",5881063,No keywords available,"[{'code': '35L20', 'scheme': 'msc2020', 'text': 'Initial-boundary value problems for second-order hyperbolic equations'}, {'code': '28A80', 'scheme': 'msc2020', 'text': 'Fractals'}]",1,['10.1080/00036811003627559']
Two-step iteration scheme for nonexpansive mappings in uniformly convex Banach space.,"('Yadav, M. R.', 'Thakur, B. S.', 'Sharma, A. K.')",6431103,"[{'text': 'two-step iteration process', 'type': 'uncontrolled'}, {'text': 'nonexpansive mappings', 'type': 'uncontrolled'}, {'text': ""condition (A')"", 'type': 'uncontrolled', 'text_mathjax': 'condition (A&rsquo;)'}, {'text': ""Opial's condition"", 'type': 'uncontrolled', 'text_mathjax': 'Opial&rsquo;s condition'}, {'text': 'common fixed point', 'type': 'uncontrolled'}]","[{'code': '47J25', 'scheme': 'msc2020', 'text': 'Iterative procedures involving nonlinear operators'}, {'code': '65J15', 'scheme': 'msc2020', 'text': 'Numerical solutions to equations with nonlinear operators'}]",0,No doi or fulltext link available
Ulmâ€™s theorem for totally projective groups.,"('Walker, Elbert A.',)",257.20039,No keywords available,No MSCs available,No refrences available,https://doi.org/10.2307/2039445
Vertical subgroups of primary abelian groups.,"('Benabdallah, K.', 'Charles, B.', 'Mader, A.')",729.20021,No keywords available,No MSCs available,No refrences available,https://doi.org/10.4153/CJM-1991-001-0
Viscous cosmologies in scalar-tensor theories for Kasner type metrics,"('Cataldo, M.','del Campo, S.', 'Salgado, P.')",1162.83357_source_1,No keywords available,No MSCs available,No refrences available,https://arxiv.org/abs/gr-qc/0011027
Weighted composition operators between weighted Bloch type spaces.,"('Wolf, Elke',)",6186285,"[{'text': 'weighted composition operators', 'type': 'uncontrolled'}, {'text': 'weighted Bloch type spaces', 'type': 'uncontrolled'}, {'text': 'boundedness', 'type': 'uncontrolled'}, {'text': 'compactness', 'type': 'uncontrolled'}]","[{'code': '47B33', 'scheme': 'msc2020', 'text': 'Linear composition operators'}, {'code': '47B38', 'scheme': 'msc2020', 'text': 'Linear operators on function spaces (general)'}]",1,['10.3318/PRIA.2011.111.5']
Zero mean curvature surfaces in \(\mathrm{L}^3\) containing a light-like line.,"('Fujimori, S.', 'Kim, Y. W.', 'Koh, S.-E.', 'Rossman, W.', 'Shin, H.', 'Takahashi, H.', 'Umehara, M.', 'Yamada, K.', 'Yang, S.-D.')",1257.5309,No keywords available,No MSCs available,No refrences available,https://doi.org/10.1016/j.crma.2012.10.024
Zero mean curvature surfaces in Lorentz-Minkowski 3-space which change type across a light-like line.,"('Fujimori, S.', 'Kim, Y. W.', 'Koh, S.-E.', 'Rossman, W.', 'Shin, H.', 'Umehara, M.', 'Yamada, K.', 'Yang, S.-D.')",6431041,"[{'text': 'type change', 'type': 'uncontrolled'}, {'text': 'space-like maximal surfaces', 'type': 'uncontrolled'}, {'text': 'time-like minimal surfaces', 'type': 'uncontrolled'}, {'text': 'singular set', 'type': 'uncontrolled'}]","[{'code': '53A10', 'scheme': 'msc2020', 'text': 'Minimal surfaces in differential geometry, surfaces with prescribed mean curvature'}, {'code': '53B30', 'scheme': 'msc2020', 'text': 'Local differential geometry of Lorentz metrics, indefinite metrics'}, {'code': '35M10', 'scheme': 'msc2020', 'text': 'PDEs of mixed type'}, {'code': '53A35', 'scheme': 'msc2020', 'text': 'Non-Euclidean differential geometry'}]",11,No doi or fulltext link available
